tenure,maritalstatus_Single,preferredlogindevice_Computer,numberofaddress,complain,maritalstatus_Married,gender_Male,cashbackamount,daysincelastorder,couponused,preferredlogindevice_Mobile,gender_Female,preferredpaymentmode_E_wallet,preferedordercat_Fashion,maritalstatus_Divorced,numberofdeviceregistered,preferredpaymentmode_Cash_on_Delivery,preferredpaymentmode_Debit_Card,satisfactionscore,warehousetohome,churn
5.0,1.0,0.0,2.0,1.0,0.0,1.0,151.57,3.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,4.0,16.0,0
2.0,0.0,0.0,8.0,1.0,1.0,1.0,124.03999999999999,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,-0.1687902411681134,1
1.0,1.0,1.0,5.0,0.0,0.0,1.0,175.71,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,1.0,1.0,9.0,0
12.0,1.0,0.0,1.0,0.0,0.0,1.0,145.34,7.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,24.0,0
2.0,0.0,0.0,5.0,1.0,1.0,0.0,152.38,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,9.0,1
20.0,0.0,1.0,1.0,0.0,1.0,0.0,219.57,8.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,4.0,6.0,0
17.0,0.0,0.0,5.0,0.0,0.0,1.0,272.32625,8.0,2.0,1.0,0.0,0.0,0.0,1.0,5.5,0.0,1.0,2.0,10.0,0
8.0,0.0,1.0,3.0,0.0,1.0,0.0,150.93,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,5.0,8.0,0
13.0,0.0,0.0,3.0,1.0,1.0,0.0,165.16,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,5.0,14.0,0
22.0,0.0,0.0,6.0,0.0,1.0,1.0,179.86,3.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,5.0,14.0,0
23.0,1.0,0.0,4.0,0.0,0.0,0.0,272.32625,4.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,17.0,0
1.0,0.0,1.0,3.0,0.0,1.0,1.0,212.93,3.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,5.0,17.0,0
23.0,0.0,0.0,6.0,0.0,0.0,0.0,199.03,8.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,4.0,15.0,0
23.0,0.0,1.0,3.0,0.0,1.0,0.0,272.32625,2.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,8.0,0
5.0,0.0,0.0,3.0,0.0,1.0,0.0,139.31,2.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,10.0,0
4.0,0.0,1.0,2.0,0.0,0.0,0.0,141.48,3.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,5.0,6.0,0
24.0,1.0,0.0,8.0,0.0,0.0,1.0,229.96,3.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,2.0,17.0,0
1.0,1.0,0.0,3.0,1.0,0.0,1.0,148.89,2.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,25.0,1
10.0,1.0,1.0,6.0,0.0,0.0,0.0,191.53,1.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,7.0,0
4.0,1.0,0.0,2.0,0.0,0.0,1.0,154.83,3.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,4.0,14.0,0
28.0,0.0,0.0,10.0,0.0,1.0,0.0,232.39,9.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0,3.0,24.0,0
1.0,0.0,1.0,2.0,1.0,1.0,1.0,153.53,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,10.0,1
3.0,0.0,0.0,1.0,1.0,0.0,1.0,135.79,7.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,4.0,6.0,0
10.0,0.0,0.0,3.0,1.0,1.0,1.0,187.01,12.0,3.5,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,7.0,0
30.0,0.0,0.0,4.0,0.0,1.0,1.0,208.82999999999998,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,6.0,0
14.0,0.0,0.0,3.0,0.0,0.0,1.0,208.96,6.0,3.5,1.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,5.0,33.0,0
19.0,0.0,0.0,6.0,0.0,1.0,1.0,146.32,4.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,35.0,0
21.0,1.0,0.0,6.0,0.0,0.0,1.0,149.79,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,3.0,9.0,1
11.0,0.0,0.0,1.0,0.0,1.0,1.0,199.24,7.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,20.0,0
1.0,1.0,1.0,3.0,1.0,0.0,0.0,140.69,1.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,10.0,1
7.0,0.0,1.0,5.0,0.0,1.0,1.0,120.97,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,9.0,0
21.0,0.0,0.0,8.0,0.0,0.0,0.0,254.01999999999998,2.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,1.0,5.0,6.0,0
0.0,1.0,0.0,2.0,0.0,0.0,1.0,126.78999999999999,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,4.0,13.0,1
9.0,0.0,0.0,1.0,0.0,0.0,1.0,123.41999999999999,3.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,5.0,0.2532158717890494,0
11.0,0.0,1.0,7.0,0.0,0.0,0.0,154.73,1.0,2.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,28.0,0
12.0,1.0,1.0,8.0,1.0,0.0,0.0,184.8,13.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,5.0,9.0,0
24.0,0.0,0.0,6.0,0.0,1.0,1.0,154.82,2.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,8.0,0
3.0,0.0,0.0,1.0,0.0,1.0,1.0,199.57,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,26.0,0
28.0,0.0,0.0,4.0,0.0,1.0,0.0,184.4,6.0,2.0,1.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,5.0,10.0,0
19.0,1.0,0.0,3.0,0.0,0.0,0.0,147.74,1.0,2.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,3.0,9.0,0
11.0,0.0,0.0,3.0,0.0,1.0,1.0,184.93,8.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,3.0,7.0,0
10.0,1.0,1.0,6.0,0.0,0.0,1.0,145.88,3.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,10.0,0
11.0,1.0,0.0,5.0,0.0,0.0,0.0,186.86,7.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,6.0,0
10.0,0.0,0.0,2.0,0.0,1.0,1.0,142.85,7.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,19.0,0
5.0,0.0,1.0,7.0,0.0,1.0,0.0,123.32,2.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,4.0,0.1594367355763465,0
0.0,0.0,0.0,2.0,0.0,1.0,0.0,135.4,8.0,3.5,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,29.0,0
4.0,0.0,1.0,11.0,0.0,1.0,1.0,162.61,4.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,2.0,12.0,0
8.0,0.0,1.0,7.0,0.0,1.0,1.0,154.96,4.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,8.0,0
0.0,0.0,0.0,2.0,0.0,0.0,1.0,139.55,3.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,5.0,6.0,0
7.0,0.0,0.0,2.0,0.0,1.0,1.0,143.25,3.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,6.0,0
8.0,1.0,0.0,5.0,0.0,0.0,0.0,121.05000000000001,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,15.0,0
9.0,0.0,0.0,2.0,1.0,1.0,0.0,156.73,7.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,3.0,16.0,0
5.0,0.0,0.0,3.0,0.0,1.0,1.0,144.03,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,19.0,0
6.0,0.0,0.0,2.0,0.0,1.0,0.0,129.11,2.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,11.0,0
22.0,0.0,0.0,3.0,1.0,1.0,0.0,239.66000000000003,12.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,3.0,12.0,0
9.0,0.0,0.0,5.0,1.0,1.0,1.0,214.66,3.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,5.0,24.0,0
7.0,1.0,1.0,2.0,0.0,0.0,0.0,125.53,3.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,2.0,0.1594367355763465,0
8.0,0.0,1.0,3.0,0.0,1.0,1.0,157.62,7.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,8.0,0
0.0,0.0,0.0,4.0,0.0,0.0,1.0,144.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,5.0,15.0,1
7.0,0.0,0.0,1.0,0.0,1.0,1.0,185.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,15.0,0
21.0,0.0,0.0,5.0,1.0,1.0,0.0,170.91,3.0,2.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,21.0,0
10.0,0.0,0.0,9.0,1.0,1.0,1.0,208.21,8.0,2.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,5.0,17.0,0
16.0,0.0,0.0,2.0,0.0,1.0,1.0,272.32625,8.0,3.5,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,9.0,0
15.0,0.0,0.0,3.0,0.0,1.0,1.0,147.89,5.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,5.0,16.0,0
1.0,0.0,0.0,6.0,1.0,0.0,0.0,146.32,2.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,1.0,3.0,29.0,1
11.0,0.0,1.0,5.0,0.0,1.0,0.0,124.68,5.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.1594367355763465,0
7.0,0.0,1.0,5.0,0.0,0.0,1.0,120.97,4.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,2.0,9.0,0
0.0,0.0,0.0,2.0,1.0,1.0,0.0,157.69,4.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,16.0,0
7.0,0.0,0.0,2.0,1.0,0.0,1.0,136.22,3.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,2.0,6.0,0
12.0,0.0,1.0,6.0,0.0,1.0,0.0,149.68,6.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,9.0,0
8.0,0.0,0.0,1.0,0.0,0.0,0.0,153.63,0.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,6.0,0
22.0,1.0,0.0,3.0,0.0,0.0,1.0,203.98,9.0,2.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,2.0,11.0,0
8.0,0.0,0.0,11.0,0.0,1.0,1.0,229.82,8.0,3.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,5.0,7.0,1
9.0,1.0,0.0,5.0,0.0,0.0,0.0,150.06,3.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,7.0,0
5.0,1.0,1.0,5.0,1.0,0.0,0.0,149.98,7.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,8.0,0
19.0,0.0,0.0,11.0,0.0,1.0,1.0,161.97,9.0,3.5,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,15.0,0
1.0,0.0,0.0,3.0,0.0,1.0,0.0,152.42,3.0,3.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,3.0,16.0,1
0.0,0.0,1.0,1.0,1.0,0.0,1.0,163.49,4.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,4.0,6.0,0
3.0,0.0,0.0,3.0,0.0,1.0,1.0,211.2,3.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,3.0,26.0,0
8.0,1.0,0.0,5.0,0.0,0.0,1.0,136.81,2.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,31.0,0
20.0,0.0,1.0,2.0,1.0,1.0,1.0,150.67,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,3.0,22.0,0
1.0,0.0,0.0,7.0,1.0,0.0,1.0,159.64,3.0,3.0,1.0,0.0,0.0,0.0,1.0,5.5,0.0,0.0,2.0,9.0,1
6.0,1.0,0.0,10.0,0.0,0.0,1.0,221.79,3.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,12.0,0
8.0,1.0,1.0,6.0,0.0,0.0,0.0,144.25,2.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,8.0,0
15.0,1.0,0.0,3.0,0.0,0.0,1.0,217.41,8.0,3.5,1.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,3.0,13.0,0
28.0,0.0,0.0,9.0,0.0,1.0,1.0,126.62,4.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,8.0,0
28.0,0.0,0.0,5.0,0.0,0.0,0.0,272.32625,11.0,3.5,1.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,3.0,8.0,0
3.0,0.0,1.0,8.0,1.0,1.0,0.0,147.36,2.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,31.0,0
1.0,0.0,1.0,3.0,0.0,0.0,0.0,145.33,1.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,1.0,4.0,20.0,0
5.0,0.0,0.0,2.0,0.0,1.0,1.0,155.67,3.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,3.0,9.0,0
19.0,0.0,1.0,3.0,1.0,1.0,1.0,161.33,9.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,5.0,30.0,0
10.0,0.0,1.0,6.0,0.0,1.0,1.0,221.99,3.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,10.0,0
12.0,0.0,0.0,3.0,0.0,1.0,1.0,182.37,6.0,3.0,1.0,0.0,0.0,1.0,0.0,1.5,0.0,0.0,3.0,12.0,0
1.0,1.0,0.0,9.0,1.0,0.0,1.0,224.07,3.0,2.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,4.0,9.0,1
6.0,0.0,1.0,3.0,0.0,0.0,1.0,152.94,4.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,4.0,14.0,0
8.0,0.0,1.0,2.0,1.0,1.0,1.0,123.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,5.0,22.0,1
0.0,0.0,1.0,9.0,0.0,0.0,1.0,147.07,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,17.0,1
3.0,0.0,1.0,1.0,0.0,1.0,0.0,184.12,8.0,3.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,5.0,28.0,0
14.0,0.0,0.0,9.0,0.0,1.0,1.0,233.55,12.0,2.0,1.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,1.0,11.0,0
1.0,0.0,0.0,2.0,1.0,0.0,1.0,155.58,2.0,2.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,4.0,24.0,0
29.0,0.0,1.0,5.0,0.0,1.0,1.0,234.76,3.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,4.0,9.0,0
7.0,1.0,1.0,2.0,0.0,0.0,0.0,148.42,3.0,3.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,2.0,15.0,0
29.0,0.0,0.0,5.0,1.0,1.0,0.0,142.57,2.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,5.0,14.0,0
11.0,0.0,0.0,2.0,0.0,1.0,1.0,128.44,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,3.0,6.0,0
7.0,0.0,1.0,5.0,0.0,1.0,1.0,202.25,8.0,3.5,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,13.0,0
1.0,1.0,0.0,2.0,1.0,0.0,0.0,207.24,4.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,5.0,16.0,1
21.0,1.0,0.0,2.0,0.0,0.0,1.0,178.98,8.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,2.0,10.0,0
7.0,0.0,0.0,2.0,0.0,1.0,0.0,129.29,7.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,25.0,0
27.0,0.0,0.0,8.0,0.0,1.0,1.0,272.32625,3.0,3.5,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,9.0,0
23.0,0.0,0.0,4.0,1.0,0.0,1.0,239.73000000000002,5.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,3.0,30.0,0
31.0,0.0,0.0,6.0,1.0,1.0,0.0,158.46,1.0,2.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,16.0,0
9.0,0.0,0.0,10.0,1.0,1.0,0.0,134.19,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,5.0,11.0,0
14.0,0.0,0.0,3.0,0.0,1.0,0.0,171.39,3.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,5.0,21.0,0
12.0,0.0,0.0,2.0,0.0,1.0,1.0,169.4,9.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,4.0,8.0,0
5.0,1.0,1.0,10.0,0.0,0.0,0.0,140.25,7.0,3.5,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,35.0,0
30.0,0.0,0.0,6.0,1.0,1.0,0.0,167.57,3.0,2.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,5.0,15.0,0
5.0,1.0,0.0,2.0,0.0,0.0,0.0,128.37,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,4.0,35.0,0
0.0,0.0,1.0,1.0,0.0,1.0,1.0,143.42,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,14.0,0
1.0,0.0,0.0,11.0,0.0,1.0,0.0,153.11,3.0,3.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,4.0,23.0,0
0.0,0.0,1.0,2.0,0.0,1.0,1.0,187.93,7.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,5.0,16.0,0
4.0,0.0,0.0,9.0,0.0,1.0,0.0,139.78,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.5,0.0,0.0,3.0,10.0,0
8.0,0.0,0.0,3.0,0.0,1.0,1.0,202.74,4.0,3.5,1.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,4.0,8.0,0
22.0,1.0,1.0,4.0,0.0,0.0,1.0,272.32625,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,7.0,0
1.0,1.0,0.0,3.0,0.0,0.0,1.0,171.17,3.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,3.0,8.0,0
11.0,1.0,0.0,4.0,0.0,0.0,1.0,199.28,4.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,1.0,10.0,0
7.0,0.0,1.0,2.0,0.0,1.0,1.0,120.08000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,7.0,0
27.0,0.0,0.0,3.0,0.0,0.0,0.0,159.4,5.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,5.0,9.0,0
26.0,0.0,0.0,7.0,0.0,1.0,1.0,248.51999999999998,2.0,3.5,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,8.0,0
5.0,1.0,0.0,2.0,0.0,0.0,1.0,153.96,8.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,16.0,0
29.0,1.0,1.0,9.0,0.0,0.0,1.0,272.32625,3.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,9.0,0
13.0,0.0,0.0,3.0,0.0,1.0,1.0,268.23,16.0,3.5,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,5.0,7.0,0
15.0,0.0,0.0,2.0,0.0,1.0,0.0,260.7,11.0,2.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,4.0,35.0,0
11.0,0.0,0.0,8.0,0.0,1.0,0.0,189.47,4.0,3.5,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,4.0,7.0,0
4.0,0.0,0.0,10.0,0.0,1.0,1.0,178.01,3.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,3.0,23.0,0
1.0,1.0,0.0,3.0,1.0,0.0,0.0,169.87,4.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,11.0,0
21.0,1.0,0.0,3.0,0.0,0.0,1.0,142.4,2.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,3.0,12.0,0
12.0,0.0,0.0,2.0,1.0,1.0,1.0,240.10000000000002,10.0,3.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,1.0,22.0,0
3.0,0.0,0.0,2.0,0.0,0.0,1.0,124.75999999999999,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,4.0,-0.42668286575304626,0
6.0,0.0,1.0,1.0,0.0,1.0,1.0,143.73,3.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,13.0,0
1.0,0.0,0.0,3.0,1.0,1.0,0.0,154.33,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,3.0,8.0,0
25.0,0.0,0.0,4.0,0.0,1.0,0.0,256.16,3.0,3.0,1.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0,3.0,10.0,0
2.0,0.0,0.0,7.0,0.0,1.0,1.0,124.50999999999999,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.5,0.0,1.0,3.0,0.1594367355763465,0
5.0,1.0,1.0,1.0,0.0,0.0,1.0,130.68,6.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,8.0,0
21.0,1.0,1.0,3.0,0.0,0.0,1.0,268.85,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,1.0,6.0,0
9.0,0.0,0.0,4.0,0.0,1.0,1.0,193.83,8.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,3.0,34.0,0
8.0,0.0,0.0,2.0,0.0,1.0,1.0,122.97,2.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,4.0,16.0,0
1.0,1.0,0.0,3.0,1.0,0.0,1.0,183.13,8.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,34.0,1
1.0,1.0,0.0,3.0,0.0,0.0,1.0,138.93,1.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,4.0,9.0,1
17.0,0.0,1.0,10.0,0.0,1.0,0.0,233.2,2.0,2.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,1.0,5.0,34.0,0
12.0,0.0,1.0,2.0,0.0,1.0,0.0,137.55,7.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,14.0,0
10.0,1.0,1.0,3.0,0.0,0.0,0.0,146.53,8.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,25.0,0
22.0,0.0,0.0,5.0,1.0,1.0,0.0,125.87,2.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,-0.1687902411681134,0
11.0,1.0,1.0,2.0,0.0,0.0,0.0,124.4,3.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.22977108773587362,0
